NewValues are Y: 0.280102, Pb: -0.027500, Pr: 0.015591
NewValues are Y: 0.215012, Pb: -0.026176, Pr: 0.011670
NewValues are Y: 0.266482, Pb: -0.024240, Pr: 0.016914
NewValues are Y: 0.233043, Pb: -0.027500, Pr: 0.015591
NewValues are Y: 0.172431, Pb: -0.035343, Pr: 0.016867
NewValues are Y: 0.315396, Pb: -0.027500, Pr: 0.015591
NewValues are Y: 0.326267, Pb: -0.031421, Pr: 0.016229
NewValues are Y: 0.232427, Pb: -0.036005, Pr: 0.018827
NewValues are Y: 0.348733, Pb: -0.041887, Pr: 0.019784
NewValues are Y: 0.346153, Pb: -0.036005, Pr: 0.018827
NewValues are Y: 0.419322, Pb: -0.041887, Pr: 0.019784
NewValues are Y: 0.432494, Pb: -0.047108, Pr: 0.018780
NewValues are Y: 0.473843, Pb: -0.054951, Pr: 0.020055
NewValues are Y: 0.467788, Pb: -0.047108, Pr: 0.018780
NewValues are Y: 0.446392, Pb: -0.054951, Pr: 0.020055
NewValues are Y: 0.655643, Pb: -0.060171, Pr: 0.019051
NewValues are Y: 0.615086, Pb: -0.066054, Pr: 0.020008
NewValues are Y: 0.549761, Pb: -0.060171, Pr: 0.019051
NewValues are Y: 0.524890, Pb: -0.066054, Pr: 0.020008
NewValues are Y: 0.355647, Pb: -0.074558, Pr: 0.023244
NewValues are Y: 0.478176, Pb: -0.081740, Pr: 0.022559
NewValues are Y: 0.383098, Pb: -0.074558, Pr: 0.023244
NewValues are Y: 0.475149, Pb: -0.077818, Pr: 0.021921
NewValues are Y: 0.489941, Pb: -0.081740, Pr: 0.022559
NewValues are Y: 0.445910, Pb: -0.085661, Pr: 0.023196
NewValues are Y: 0.564451, Pb: -0.081740, Pr: 0.022559
NewValues are Y: 0.591008, Pb: -0.085662, Pr: 0.023196
NewValues are Y: 0.459082, Pb: -0.090882, Pr: 0.022192
NewValues are Y: 0.448255, Pb: -0.086985, Pr: 0.027118
NewValues are Y: 0.477282, Pb: -0.085661, Pr: 0.023196
NewValues are Y: 0.448255, Pb: -0.086985, Pr: 0.027118
NewValues are Y: 0.479200, Pb: -0.077891, Pr: 0.038611
NewValues are Y: 0.376557, Pb: -0.075293, Pr: 0.041895
NewValues are Y: 0.451024, Pb: -0.075269, Pr: 0.036332
NewValues are Y: 0.395886, Pb: -0.070710, Pr: 0.039297
NewValues are Y: 0.528090, Pb: -0.070073, Pr: 0.042899
NewValues are Y: 0.411337, Pb: -0.066151, Pr: 0.042262
NewValues are Y: 0.379071, Pb: -0.070073, Pr: 0.042899
NewValues are Y: 0.388937, Pb: -0.066788, Pr: 0.038659
NewValues are Y: 0.497333, Pb: -0.061568, Pr: 0.039663
NewValues are Y: 0.458565, Pb: -0.059607, Pr: 0.039344
NewValues are Y: 0.489937, Pb: -0.059607, Pr: 0.039344
NewValues are Y: 0.524953, Pb: -0.055024, Pr: 0.036746
NewValues are Y: 0.502318, Pb: -0.051102, Pr: 0.036108
NewValues are Y: 0.498396, Pb: -0.051102, Pr: 0.036108
NewValues are Y: 0.557220, Pb: -0.051102, Pr: 0.036108
NewValues are Y: 0.463102, Pb: -0.051102, Pr: 0.036108
NewValues are Y: 0.359690, Pb: -0.045857, Pr: 0.031549
NewValues are Y: 0.402827, Pb: -0.045857, Pr: 0.031549
NewValues are Y: 0.418514, Pb: -0.045857, Pr: 0.031549
NewValues are Y: 0.422435, Pb: -0.045857, Pr: 0.031549
NewValues are Y: 0.451016, Pb: -0.046494, Pr: 0.027946
NewValues are Y: 0.470624, Pb: -0.046494, Pr: 0.027946
NewValues are Y: 0.443173, Pb: -0.046494, Pr: 0.027946
NewValues are Y: 0.427486, Pb: -0.046494, Pr: 0.027946
NewValues are Y: 0.454000, Pb: -0.050392, Pr: 0.023020
NewValues are Y: 0.430471, Pb: -0.050392, Pr: 0.023020
NewValues are Y: 0.403020, Pb: -0.050392, Pr: 0.023020
NewValues are Y: 0.434392, Pb: -0.050392, Pr: 0.023020
NewValues are Y: 0.415914, Pb: -0.051029, Pr: 0.019418
NewValues are Y: 0.404663, Pb: -0.060171, Pr: 0.019051
NewValues are Y: 0.454000, Pb: -0.050392, Pr: 0.023020
NewValues are Y: 0.416427, Pb: -0.060171, Pr: 0.019051
NewValues are Y: 0.470502, Pb: -0.075196, Pr: 0.019641
NewValues are Y: 0.556329, Pb: -0.077157, Pr: 0.019960
NewValues are Y: 0.627365, Pb: -0.075196, Pr: 0.019641
NewValues are Y: 0.627365, Pb: -0.075196, Pr: 0.019641
NewValues are Y: 0.524275, Pb: -0.074559, Pr: 0.023244
NewValues are Y: 0.434973, Pb: -0.070637, Pr: 0.022606
NewValues are Y: 0.548698, Pb: -0.070637, Pr: 0.022606
NewValues are Y: 0.533906, Pb: -0.066715, Pr: 0.021969
NewValues are Y: 0.367792, Pb: -0.061495, Pr: 0.022973
NewValues are Y: 0.447631, Pb: -0.066715, Pr: 0.021969
NewValues are Y: 0.540788, Pb: -0.059534, Pr: 0.022654
NewValues are Y: 0.524655, Pb: -0.061495, Pr: 0.022973
NewValues are Y: 0.580114, Pb: -0.070661, Pr: 0.028170
NewValues are Y: 0.549702, Pb: -0.077843, Pr: 0.027484
NewValues are Y: 0.506498, Pb: -0.066740, Pr: 0.027532
NewValues are Y: 0.405051, Pb: -0.075882, Pr: 0.027166
NewValues are Y: 0.534529, Pb: -0.086985, Pr: 0.027118
NewValues are Y: 0.447361, Pb: -0.090906, Pr: 0.027756
NewValues are Y: 0.501749, Pb: -0.081764, Pr: 0.028122
NewValues are Y: 0.487471, Pb: -0.086985, Pr: 0.027118
NewValues are Y: 0.592224, Pb: -0.086348, Pr: 0.030721
NewValues are Y: 0.462298, Pb: -0.077205, Pr: 0.031087
NewValues are Y: 0.499000, Pb: -0.082426, Pr: 0.030083
NewValues are Y: 0.556863, Pb: -0.075245, Pr: 0.030768
NewValues are Y: 0.450467, Pb: -0.066102, Pr: 0.031135
NewValues are Y: 0.587655, Pb: -0.054999, Pr: 0.031182
NewValues are Y: 0.674890, Pb: -0.062181, Pr: 0.030497
NewValues are Y: 0.784627, Pb: -0.051078, Pr: 0.030545
NewValues are Y: 0.545388, Pb: -0.039999, Pr: 0.036156
NewValues are Y: 0.250757, Pb: -0.030857, Pr: 0.036522
NewValues are Y: 0.333624, Pb: -0.039999, Pr: 0.036156
NewValues are Y: 0.357533, Pb: -0.026935, Pr: 0.035884
NewValues are Y: 0.298600, Pb: -0.015808, Pr: 0.030368
NewValues are Y: 0.057976, Pb: -0.010587, Pr: 0.031373
NewValues are Y: 0.176137, Pb: -0.019730, Pr: 0.031006
NewValues are Y: 0.180953, Pb: -0.015808, Pr: 0.030368
NewValues are Y: 0.210918, Pb: -0.010587, Pr: 0.031373
NewValues are Y: 0.418761, Pb: -0.010587, Pr: 0.031373
NewValues are Y: 0.333894, Pb: -0.015808, Pr: 0.030368
NewValues are Y: 0.435855, Pb: -0.015808, Pr: 0.030368
NewValues are Y: 0.556377, Pb: -0.008578, Pr: 0.019927
NewValues are Y: 0.595145, Pb: -0.010539, Pr: 0.020246
NewValues are Y: 0.618373, Pb: 0.005123, Pr: 0.023258
NewValues are Y: 0.444247, Pb: 0.003800, Pr: 0.027180
NewValues are Y: 0.571937, Pb: -0.015146, Pr: 0.028408
NewValues are Y: 0.415396, Pb: -0.019754, Pr: 0.036570
NewValues are Y: 0.405353, Pb: -0.000808, Pr: 0.035342
NewValues are Y: 0.312004, Pb: -0.003455, Pr: 0.043185
NewValues are Y: 0.364502, Pb: -0.019803, Pr: 0.047697
NewValues are Y: 0.377482, Pb: -0.020489, Pr: 0.055221
NewValues are Y: 0.324090, Pb: -0.008062, Pr: 0.051347
NewValues are Y: 0.573047, Pb: -0.011346, Pr: 0.055587
NewValues are Y: 0.267443, Pb: -0.015930, Pr: 0.058186
NewValues are Y: 0.195682, Pb: -0.015268, Pr: 0.056225
NewValues are Y: 0.553396, Pb: -0.011322, Pr: 0.050024
NewValues are Y: 0.259514, Pb: -0.015881, Pr: 0.047059
NewValues are Y: 0.177161, Pb: -0.015881, Pr: 0.047059
NewValues are Y: 0.435004, Pb: -0.019754, Pr: 0.036570
NewValues are Y: 0.097514, Pb: -0.015195, Pr: 0.039535
NewValues are Y: 0.318208, Pb: -0.015808, Pr: 0.030368
NewValues are Y: 0.497494, Pb: -0.026249, Pr: 0.028360
NewValues are Y: 0.364118, Pb: -0.026225, Pr: 0.022797
NewValues are Y: 0.410216, Pb: -0.019044, Pr: 0.023482
NewValues are Y: 0.331784, Pb: -0.019044, Pr: 0.023482
NewValues are Y: 0.364161, Pb: -0.026249, Pr: 0.028360
NewValues are Y: 0.526161, Pb: -0.026935, Pr: 0.035884
NewValues are Y: 0.376137, Pb: -0.019730, Pr: 0.031006
NewValues are Y: 0.505357, Pb: -0.015195, Pr: 0.039535
NewValues are Y: 0.364502, Pb: -0.019803, Pr: 0.047697
NewValues are Y: 0.777118, Pb: -0.015857, Pr: 0.041495
NewValues are Y: 0.379675, Pb: -0.010660, Pr: 0.048063
NewValues are Y: 0.556549, Pb: -0.008675, Pr: 0.042181
NewValues are Y: 0.945337, Pb: -0.011200, Pr: 0.022206
NewValues are Y: 0.592353, Pb: -0.011176, Pr: 0.016643
NewValues are Y: 0.823769, Pb: -0.011200, Pr: 0.022206
NewValues are Y: 0.494314, Pb: -0.011176, Pr: 0.016643
NewValues are Y: 0.676114, Pb: -0.016397, Pr: 0.015639
NewValues are Y: 0.714435, Pb: -0.020318, Pr: 0.016276
NewValues are Y: 0.574153, Pb: -0.016397, Pr: 0.015639
NewValues are Y: 0.722278, Pb: -0.020318, Pr: 0.016276
